Cell Type	X	Y	Layer
3	0.77	178.22	6
3	1.17	2717.67	3
1	1.69	3504.03	2
1	2.43	3532.43	2
1	2.73	3397.27	3
1	2.93	3322.69	3
1	3.44	2068.85	3
1	3.59	2217.86	3
3	3.81	2052.35	3
1	3.91	2706.27	3
1	3.96	394.56	6
1	4.08	1139.99	5
1	5.06	3555.65	2
1	5.08	517.91	6
1	5.12	846.28	5
1	5.15	1238	5
1	5.18	340.44	6
1	5.36	3547.73	2
3	5.37	1439.92	5
1	5.45	1223.79	5
1	6.59	572.07	6
1	6.95	1791.19	4
1	7	1273.8	5
1	7.04	3456	2
1	7.72	637.63	6
3	8	3413.84	2
1	8.29	3205.9	3
1	8.44	1462.96	5
1	8.51	3243.26	3
1	9.14	3507.87	2
3	9.97	795.66	5
1	10.6	3373.04	3
1	10.76	2768.58	3
1	10.84	2738.33	3
3	11.09	388.57	6
1	11.58	620.76	6
1	11.58	678.23	6
3	12.05	125.8	6
1	12.15	1354.69	5
1	12.97	594.85	6
1	13.06	716.08	5
1	13.53	2105.61	3
1	14.2	2301.07	3
1	14.26	3558.46	2
3	14.54	1084.84	5
1	15	3605.8	2
1	15.31	1951.2	3
1	15.34	3131.4	3
1	15.76	1924.2	3
1	15.84	122.17	6
1	15.86	1886.35	3
1	16.28	3046.66	3
1	16.77	879.79	5
1	17.36	1091.79	5
1	17.88	1604.48	4
1	18.03	2904.35	3
3	18.21	459.18	6
1	18.59	3842.18	1
1	18.95	2261.72	3
1	20.16	2966.51	3
1	20.24	318.62	6
3	21.2	601.88	6
1	21.52	841.1	5
1	21.74	1050.27	5
1	21.79	2333.37	3
3	21.89	2001.86	3
1	22.09	3009.78	3
1	22.7	1174.24	5
1	22.8	2204.47	3
3	23.05	2329.52	3
3	23.57	1283.8	5
1	23.88	3336.43	3
1	24.05	3520.82	2
1	24.58	1269.65	5
1	24.96	3426.96	2
1	25.95	272.96	6
1	27.87	1388.86	5
1	28.54	2329.37	3
1	28.82	509.55	6
1	28.91	2295.5	3
1	28.91	3149.08	3
1	30.69	928.88	5
1	31.68	3267.79	3
1	32.03	1680.42	4
3	32.03	3138.8	3
3	32.43	3300.11	3
3	32.6	2890.08	3
1	33.02	62.95	6
1	33.14	1312.72	5
1	33.14	1604.16	4
1	33.17	3210.71	3
1	33.26	3293.75	3
3	33.34	3458.84	2
3	34.9	1213.96	5
1	35.1	3204.06	3
1	35.49	1749.25	4
1	36.07	3500.92	2
1	36.53	515.62	6
1	37.38	3373.41	3
1	38.03	2510.02	3
3	38.76	2603.49	3
1	38.79	3362.69	3
3	39.03	2426.32	3
1	39.75	3585.23	2
1	39.92	3517.56	2
1	39.97	3550.77	2
3	40.36	2750.06	3
1	40.51	608.63	6
3	40.52	3527.48	2
1	40.88	1915.37	3
1	41.79	3247.37	3
1	42.04	1610.45	4
1	42.22	3641.72	2
1	42.47	3430.51	2
1	42.53	3148.41	3
1	42.56	1543.37	4
1	43.5	3395.97	3
3	44.64	2515.5	3
3	44.91	777.32	5
1	45.86	2465.37	3
3	46.24	1789.63	4
3	46.35	3070.62	3
1	46.67	2705.56	3
1	47.5	1806.64	4
1	47.79	3626.93	2
3	48.06	314.7	6
1	48.13	1716.37	4
1	48.47	429.69	6
1	49.43	3299.52	3
1	49.57	3481.47	2
3	49.66	801.51	5
1	49.79	2423.06	3
3	50.11	140.44	6
3	50.23	3819.23	1
1	50.32	3264.01	3
3	50.36	540.56	6
1	50.38	2664.95	3
1	51.39	2555.29	3
