;	Marker Co	ordinate F	ile	
1	-210.74	2445.59	19.4	0.07
1	209.76	2446.57	18.7	0.07
1	217.43	2440.65	18.75	0.07
1	244.73	2421.35	22.7	0.07
1	277.44	2409.51	23.15	0.07
1	269.58	2374.16	24.3	0.07
1	139.36	2439.57	24.5	0.07
1	184.09	2430.85	24.2	0.07
1	-147.78	2391.51	18.5	0.07
1	-268.73	2379.29	22.3	0.07
1	-347.34	2421.45	20.75	0.07
1	-322.49	2385.06	23.35	0.07
1	-392.41	2440.18	22.45	0.07
1	-251.56	2301.31	24.95	0.07
1	-126.49	2362.69	21.25	0.07
1	-169.96	2339.17	28.3	0.07
1	110.53	2327.07	20.9	0.07
1	110.15	2321.82	24.15	0.07
1	274.52	2343.59	27.55	0.07
1	289.66	2233.92	28.15	0.07
1	217.62	2235.03	26.95	0.07
1	285.35	2283.48	26.6	0.07
1	299.15	2230.96	25.9	0.07
1	283.65	2236.66	25.9	0.07
1	270.74	2229.26	24.45	0.07
1	231.2	2224.75	24.25	0.07
1	210.28	2224.23	24.05	0.07
1	221.93	2233.99	21.95	0.07
1	203.83	2238.14	22.7	0.07
1	186.71	2225.12	21.3	0.07
1	113.42	2259.44	21.45	0.07
1	166.61	2259.52	21.5	0.07
1	127.74	2284.81	21.8	0.07
1	182.26	2260.33	25.1	0.07
1	60.58	2283.16	27.4	0.07
1	92.41	2258.38	24.35	0.07
1	50.94	2237.08	24	0.07
1	-17.86	2282.89	21.65	0.07
1	-2.13	2236.07	22.95	0.07
1	-15.12	2244.2	24.3	0.07
1	-89.97	2290.8	24.95	0.07
1	-8.37	2257.52	26.3	0.07
1	-144.27	2282.42	28.6	0.07
1	-160.96	2259.2	28.6	0.07
1	-161.26	2223.4	23.4	0.07
1	-249.64	2256.7	23.5	0.07
1	-218.11	2247.09	24.15	0.07
1	-215.07	2225.34	24.75	0.07
1	-206.76	2219.35	27.45	0.07
1	-205.35	2238.58	27.45	0.07
1	-368.78	2239.72	27.5	0.07
1	-363.21	2224.93	27.4	0.07
1	-328.35	2249.85	21.1	0.07
1	-316.92	2222.63	25.05	0.07
1	-313.58	2237.72	25.05	0.07
1	-413.51	2275.25	27	0.07
1	-396.74	2156.46	27	0.07
1	-396	2203.8	22.8	0.07
1	-412.25	2189.89	22.8	0.07
1	-405.94	2153.65	22.5	0.07
1	-405.64	2145.73	23.7	0.07
1	-371.03	2148.77	21.05	0.07
1	-346.1	2210.23	21.05	0.07
1	-348.7	2201.95	21.05	0.07
1	-294.47	2197.14	21.05	0.07
1	-349.22	2151.13	21.8	0.07
1	-303.74	2171.47	22.9	0.07
1	-312.72	2185.75	22.95	0.07
1	-339.2	2164.67	23.2	0.07
1	-371.25	2183.23	24.35	0.07
1	-353.74	2175.91	24.35	0.07
1	-339.35	2152.69	25	0.07
1	-327.63	2170.81	26.2	0.07
1	-295.73	2212.38	24.2	0.07
1	-287.64	2149.21	26.8	0.07
1	-245.61	2170.98	27.8	0.07
1	-250.5	2172.83	27.8	0.07
1	-268.83	2173.57	27.8	0.07
1	-270.24	2153.75	27.75	0.07
1	-208.89	2173.94	26.2	0.07
1	-245.68	2161.14	25.2	0.07
1	-199.32	2200.35	24.6	0.07
1	-222.54	2192.06	23.45	0.07
1	-240.26	2181.26	23.4	0.07
1	-235.67	2172.98	23.35	0.07
1	-281.51	2170.54	23.3	0.07
1	-155.49	2187.05	20.25	0.07
1	-124.56	2211.98	20.25	0.07
1	-183.68	2165.83	20.25	0.07
1	-97.85	2206.21	20.45	0.07
1	-152.38	2150.15	21.65	0.07
1	-145.63	2156.8	21.65	0.07
1	-132.35	2179.81	22.2	0.07
1	-128.34	2149.7	23.15	0.07
1	-117.06	2193.27	23.65	0.07
1	-56.5	2186.47	27.45	0.07
1	-38.92	2210.06	26.65	0.07
1	-21.56	2179.81	26.65	0.07
1	-9.4	2198.74	25.7	0.07
1	-12.66	2211.98	25.55	0.07
1	-18.6	2169.6	25.45	0.07
1	-47.38	2181.44	25.2	0.07
1	-73.2	2208.29	24.75	0.07
1	-61.7	2210.8	24.6	0.07
1	-2.94	2168.05	21.65	0.07
1	-53.09	2211.91	21.05	0.07
1	-51.53	2156.73	23.45	0.07
1	-64	2189.5	26.75	0.07
1	88.72	2199.92	27.8	0.07
1	86.34	2189.35	27.75	0.07
1	107.11	2183.95	27.75	0.07
1	113.05	2176.4	27.75	0.07
1	93.69	2150.89	27.5	0.07
1	86.49	2176.48	27.4	0.07
1	55.63	2153.77	27.4	0.07
1	59.86	2182.54	26.6	0.07
1	30.18	2157.39	26.4	0.07
1	19.35	2204.51	26.25	0.07
1	44.06	2210.28	25.4	0.07
1	38.64	2176.85	21.7	0.07
1	18.39	2208.5	28.85	0.07
1	149.38	2171.6	27.3	0.07
1	121.56	2213.76	26.45	0.07
